simulation_id,timestamp,current_price,highest_price,target_price,average_price,lowest_price,simulated_data,total_simulated,processing_time,data_source
1,1722832177009,54338,142262,66624,55423,18851,1000000,1000000,4.25 sec,source_simulation_1.csv
2,1722832223053,54338,143318,66602,55418,20474,1000000,2000000,4.54 sec,source_simulation_2.csv
3,1722832282711,54338,140837,66639,55434,20724,1000000,3000000,4.25 sec,source_simulation_3.csv
4,1722832342272,54338,135927,66646,55448,21222,1000000,4000000,4.19 sec,source_simulation_4.csv
5,1722832402642,54338,147772,66652,55444,20525,1000000,5000000,4.42 sec,source_simulation_5.csv
6,1722832462435,54302,145825,66604,55399,19824,1000000,6000000,4.36 sec,source_simulation_6.csv
7,1722832523152,54302,137581,66608,55411,20060,1000000,7000000,4.79 sec,source_simulation_7.csv
8,1722832582730,54302,141867,66580,55405,21227,1000000,8000000,4.65 sec,source_simulation_8.csv
9,1722832643156,54302,149058,66585,55395,19873,1000000,9000000,4.80 sec,source_simulation_9.csv
10,1722832702888,54302,144851,66591,55403,22131,1000000,10000000,4.69 sec,source_simulation_10.csv
11,1722832762391,54284,150503,66569,55380,17354,1000000,11000000,4.21 sec,source_simulation_11.csv
12,1722832822760,54284,156732,66549,55357,21151,1000000,12000000,4.58 sec,source_simulation_12.csv
13,1722832882679,54024,152390,66263,55134,19230,1000000,13000000,4.27 sec,source_simulation_13.csv
14,1722832942577,54024,137299,66239,55107,20794,1000000,14000000,4.28 sec,source_simulation_14.csv
15,1722833002146,54024,143286,66244,55104,20197,1000000,15000000,4.10 sec,source_simulation_15.csv
